Username,Text,Followers,Likes,Retweets,Urgency,Credibility
joaquinlife,Israel is exterminating human beings in the north of Gaza in Jabaliya right now. Why is the world not intervening and stopping them?!?!,20640,79,25,32,21
ejmalrai,#Israel was created to wage war not to live in peace ever since the WZO first organised Jewish immigration to #Palestine began in 1919 during the Third Aliyah (1919-1923). Being immigrants they did not understand the Semitic mentality that the Palestinians and Lebanese would,157834,77,22,0,28
chloetankahhui,in light of Israel's further invasion of Syria (remember the Golan Heights is occupied Syrian land!) and Assad's lack of response I hate to break it to folks that there never has been an "axis of resistance". Palestine has always been on its own even in its darkest hours ,3589,46,12,2,14
notthatguydanny,I hope Israel stops playing nice and gets rid of Palestine already…. This is dragging and im bored,8061,15,1,0,10
ShaykhSulaiman,BREAKING: HEZBOLLAH DOMINATE ISRAEL Hezbollah:“Our fighters targeted at 03:45 a.m. on Sunday 10-13-2024 with an explosive device a force of #Israeli enemy soldiers and clashed with them as they tried to infiltrate the town of Ramyeh killing and wounding some of them.”,603941,501,119,31,63
spectatorindex,BREAKING: NBC reports that senior US officials believe Israel will target Iranian state facilities and oil infrastructure in its retaliatory strikes,2907782,2597,501,30,91
not_a_heather,a friend of mine texted me that he decided to read up on israel and Palestine and that after doing so he sympathizes more with the zionist perspective but wanted to see if i could tell him "the Palestinian side" so he can learn more. does anyone have shorter format resouces 1/,24972,621,3,1,34
Praecursator007,AMERICA RUNS THE WORLD - Israel Holds No Power Over Arab 'Muslims' - THEY Are Being Deceived! - Arab Muslims need to wake up or Israel will continue to slaughter from Palestine to Saudi Arabia. Wake up Araaabs!,8867,17,3,2,18
MariamBarghouti,Palestine has the right to be free of Israel.,177905,4338,1025,0,15
IsraelWarRoom,#BREAKING: Israeli airstrikes target Hezbollah assets in the town of Khiam in southern Lebanon,339488,446,61,40,41
UssamaMakdisi,Listening to historian Ilan Pappé @pappe54 sheds light in our collective darkness. He has such wisdom leaning and empathy.  Everyone should read his works and listen to his historically informed analysis.  Israel &amp; Palestine  One Year Into The War On Gaza | Ilan Pappé | TMR,34761,194,60,0,14
Remroum,Let’s be crystal fucking clear: Mass rape has been perpetrated by one side and one side only over the last 7 decades in Palestine. And that side is Israel. Rape after rape after rape. Men women and children. Fuck Israel and all Zionists still talking about October 7.,92804,3785,1375,0,24
AlexandruC4,BREAKING: N12 - Israel has finalized its decision regarding the scale and targets for its retaliation against Iran,31072,214,37,24,24
spectatorindex,BREAKING: The US is considering deploying a $3 billion THAAD air defense battery in Israel enhancing its defenses against long-range ballistic missiles.,2907780,3508,580,41,92
LKTranslator,BREAKING: Sir Keir Starmer has condemned UNIFIL soldiers for being hit by Israel's chemical weapons x,256970,677,185,12,28
PashtunMarxist,Someone tldr me on Palestine israel and any other major news last few days thanks!,1312,24,0,0,2
IsraelNews23,Interceptions over the Haifa area.  Tomorrow might be a harsh day for Hezbollah.,2930,26,3,56,12
GlennaRyan16,“BREAKING: Very bad day for Israel . This is going to be the worst day for the IDF since October 7th. Reportedly 115 casualties from Hezbollah attacks since this morning. A drone struck a base south of Haifa causing possibly 70 casualties alone as IDF was eating.”,1311,16,7,69,4
AbubakerAbedW,Breaking: Israel has just bombed my father's school in Al-Nusairat Camp where he spent the past 20 years teaching kids art killing 3 and wounding others.,13894,575,377,14,18
HenMazzig,BREAKING: French President Emmanuel Macron discussed a “ceasefire between Hezbollah and Israel” with Iran’s President Masoud Pezeshkian. Pezeshkian called on Macron to work against “the Zionist regime.”Does Macron recognize 10000+ rockets are not in support of a ceasefire?,240998,368,67,18,63
unusual_whales,BREAKING: The Biden administration is planning to send an advanced antimissile system to Israel along with American troops to operate it U.S. officials tell The Wall Street Journal.,1902644,837,114,24,97
UltraKingDragon,BREAKING: United States  Military has deployed  personnel to Israel ,34751,13,0,48,25
intelFromBrian,I would be surprised if Israel’s attack on Iran isn’t tonight.,14198,269,28,15,9
YourAnonOne,BREAKING : Iran has informed the United States that it will retaliate against any new attack by Israel.,1771020,864,102,18,98
FrontalForce,BREAKING: US deploys Military personnel to Israel,130892,485,35,45,67
ZvikaKlein, Breaking News: A Lebanese UAV crashed in Binyamina Israel wounding at least 40 people. 4 critically injured. No alarms were activated. Helicopters evacuated the wounded to hospitals. This is a developing story. #Israel #Lebanon #BreakingNews @Jerusalem_Post,23870,45,19,51,31
aodanhill,The SNP have expelled their only socially conservative MP because he doesn't believe that Israel is committing genocide against Palestinians.But they have expelled absolutely zero MSPs for their incompetent governance of Scotland.The SNP is Palestine first Scotland last.,6218,15,1,1,9
TheInsiderPaper,BREAKING: Israel army says 'under fire' tank collided with UN Lebanon post - AFP,382480,243,63,39,59
DougAMacgregor,BREAKING: US deploys Military personnel to Israel..,376580,4736,1617,47,62
JohnnyNash77,Breaking News: What Has Just Happened In Israel Join my space.,10959,23,3,2,13
agirlcalledlina,Frances Coppola posts pretty good posts on Palestine and Israel btw,18787,24,1,0,13
StandWithUs,BREAKING: Reports of an explosive drone attack in Binyamina area Israel. Multiple people injured. No red alerts were activated during the attack. This is a developing story.,351222,122,38,61,72
streetwize,Breaking At least 15 injured some of them seriously in a UAV hit near Binyamina Israel .,10270,10,4,56,24
HSajwanization,BREAKING: At the direction of POTUS Secretary Austin authorized the deployment of a Terminal High-Altitude Area Defense (THAAD) battery and associated crew of U.S. military personnel to Israel — CENTCOM,259264,77,14,37,79
CALI4AZ,With recent breaking news of a serious incident south of Haifa. Direct hit from a Hezbollah drone. Will Israel now respond or will it hold off?,58489,10,1,32,29
intelFromBrian,Iran bombs military bases in Israel Israel replies by attacking defenseless civilians in Beirut.Hezbollah bombs military bases in Haifa Israel replies by attacking defenseless displaced civilians in Gaza.They are cowards and bullies.,14195,121,30,2,13
Ruth_Mensch,I am logging off because I have seen it once and I cannot see it again. Palestine will be free. Israel will held accountable in this lifetime or the next.,11919,83,10,0,11
warintel4u,#BREAKING Iran's foreign minister Abbas Araqchi warned Sunday that the United States is putting the lives of its troops "at risk by deploying them to operate U.S. missile systems in Israel" Reuters reports.,68972,66,14,32,59
Fx1Jonny,BREAKING NEWS: According to @yanisvaroufakis israel are now using chemical weapons on the UN Peacekeepers!!Another heinous war crime!,89122,184,81,25,56
TheInsiderPaper,BREAKING - Hezbollah drone attack on army base kills 4 Israeli soldiers. With dozens injured it's one of the bloodiest attacks on Israel since the war started CNN reports,382532,197,67,62,88
MaryKostakidis,Israel has decided to confiscate the headquarters of the UN agency for Palestine refugees (UNRWA) in the Sheikh Jarrah neighborhood of East Jerusalem in the occupied West Bank to build illegal settlement units on its site according to media reports.According to information,37859,52,44,11,34
GeneralMCNews,BREAKING: American journalist Jeremy Loffredo could potentially face life in prison or even the death penalty for his reporting in Israel. Prosecutors claim that his journalism amounted to "aiding the enemy in wartime.",93222,69,38,11,41
RealKiansta,THE LIBRARY I GO TO REPLACED THE NORTHERN IRELAND SECTION WITH FUCKING ISRAEL ADN PALESTINE CONFLICT OGH MY GOD IM ACTUALLY GOING TO KMS,1170,21,0,0,5
ZaidJilani,I have a feeling if Kamala Harris loses the election and becomes a private citizen she will just do the Bill Clinton thing about Israel/Palestine where she doesn’t talk about it to avoid alienating rich people.,141085,19,1,0,12
RShivshankar,Breaking: US to send an advanced anti-missile system and troops to Israel in a highly unusual deployment meant to bolster the country's air defenses following missile attacks by Iran.Apart from U.S Asian power India has also provided diplomatic cover for Israel by refusing,265539,205,53,42,69
JaimeKay,I’m an anti-Zionist Jew and it makes me so fucking angry when I have conversations with family about how what Israel is doing is objectively evil and they’re like “well both sides need to stop.”One side Palestine is fighting back against Israel who has been killing…,1834,19,1,0,9
antloewenstein,Israel's "Start-Up Nation" a propaganda phrase and movement that often resolves around occupation-testing weapons and surveillance on Palestinians is a safe bet (so says this Israeli opinion piece pushing the message that 10s of 1000s killed in Palestine and Lebanon shouldn't,43463,29,11,0,21
Megatron_ron,BREAKING:The most horrific sight yet in Gaza.  People are burning alive in tents at Al-Aqsa Hospital after Israel bombed them.A man woman and a little girl captured burning alive after Israel bombed tents sheltering displaced civilians in the courtyard of Al-Aqsa martyrs,409144,655,256,22,42
yipengGe,The way that Israel is repeatedly bombing hospitals in Palestine over and over again without the slightest concern by the international medical community is an absolute insult to our collective humanity and freedoms as healthcare workers.,36749,425,172,10,19
imzpali,That video is unbearable. The screams. Why are my peoples lives worth so little that they literally need to record a man burning alive for people to believe us? Ya Allah. Yil3an Israel may they never know peace in this life or the next. FREE PALESTINE ,10233,15,5,11,11
haniamousavi8,O'Allah send your ordained punishment upon Israel and its monstrous people. &amp; protect Palestine from the evil Zionist,7132,12,0,1,7
GS05445168,One thing the Israel-Palestine conflict is clearly revealing - International law and the "war as extended policing action" type conventions it enables are past their prime,2438,17,2,0,2
IsraelNews23,China launches military drills around Taiwan sending planes and ships to encircle the island. According to Beijing’s defense ministry the purpose is to “test the joint operations capabilities of the theater command’s troops“ - AFP,2933,10,2,5,6
WeDeclared,BreakingUSA to deploy troops to Israel to operate Missile defense systems. The United States will have boots on the ground putting them in-between Israel and foreign nations. Opinion: No America has no buisness getting involved. Do not risk American lives for a war that,4534,10,0,38,6
Haqiqatjou,Good article on Hezbollah.Here we hear about the good done by Hezbollah in defending Lebanon and Palestine against Israel. We also hear about the atrocities committed by Hezbollah when it was pushed to enter the Syrian war by Iran - primarily to advance Iran's geopolitical,161565,72,7,0,22
_amitbehere,#repeat The reason Israel - Palestine issue is very black and white with Israel being a terrorist state is that they could EASILY build a strong impenetratable border with Palestine if they wanted.Heck even Egypt has that. No Palestenian can enter Egypt unless Egypt,19043,62,9,1,17
Taj_Ali1,BREAKING: Over 40 MPs have called on the UK Government to impose sanctions on Israel for its repeated violations of international law in Palestine.The motion comes as the Spanish &amp; Irish Governments this week urged the EU to suspend the bloc's free trade agreement with Israel.,59751,453,184,16,27
mwendefrey,Israel is burning Palestine children alive . Why isn't the UN doing something about it? Or Palestine kids don't matter?,46771,56,15,4,7
RaniaKhalek,It’s an asymmetric war for sure but in 2024 Israel doesn’t get to genocide in comfort. Some recent developments as Israel burns Palestine in the south and Lebanon in the north:Israeli army: Rockets were launched from Lebanon towards Tel Aviv.Israeli Channel 12: An El Al,327365,159,36,42,75
Worldsource24,#BREAKING: Telegraph: Israel is "considering surrender or starve plan" in the northern third of the Gaza Strip; 400000 people would have a week to leave and those left will be seen as “Enemy Combatants”,39884,76,28,14,21
MonitorX99800,BREAKING – Hezbollah in a statement: "The range of our missiles will increase day by day towards the depth of Israel" ⚡At least 3 ballistic missiles have been launched so far towards the central sector.,15335,25,5,31,18
sayinshallah,Israel just bombed a camp in Palestine where they have videos of children being burnt aliveThe modern day holocaust is happening right in front of our eyes,36781,22,1,9,17
GodCloseMyEyes,coates' take on israel palestine isn't surprising it's just the same oversimplified take that has prevailed in america regarding our own history. he's honestly right to wonder why there is any pushback over applying this to zionism.,63430,129,14,0,18
warintel4u,#BREAKING Al Mayadeen's correspondent: Two Ballastic missiles were fired from Lebanon towards Israel marking the first launch of this type.,69272,311,98,47,32
AaronRegunberg,It’s honestly very rare that politics and morality align so closely and clearly. It’d be so easy. “Israel isn’t heeding our calls. It’s time to stop sending weapons that are now breaking our laws.” Good god.,13161,185,37,3,8
agraybee,A criminally under-discussed element of Israel/Palestine is that it's now clear Netanyahu is waiting to see who the next president is before making his next move. He apparently talks with Trump regularly and I don't think they're talking ceasefire plans.,32947,452,102,10,10
MariamBarghouti,Israel is committing crimes across Palestine from Jenin to Deir El-Ballah and regionally towards Lebanon.This regime must be stopped IMMEDIATELY. Failure to act by international state and non-state actors means that all representatives must be changed in their failure to,178399,205,96,2,42
VoteHarrisOut,BREAKING: Kamala Harris is sending the US military to Israel to be boots on the ground in the middle of a war. This could lead to World War 3.,151351,596,181,52,62
HenMazzig,Commenting “free Palestine” on a post about Yom Kippur or Sukkot is antisemiticCelebrating a Jewish holiday has nothing to do with the war in Gaza Lebanon &amp; IranJews won’t stop practicing our faith just to satisfy trolls offended by any mention of Judaism or Israel this year,241167,393,40,0,21
MatthewParrott,Take notes.Today is a helpful reminder of why my support for Palestine is muted.Hamas openly supports the narrative that my claim to my American homeland is as illegitimate as Israel's claim to Gaza City.,3505,18,2,0,3
OHCHR_Palestine,The UN Human Rights Office is appalled by Israel’s continued bombing and other attacks on parts of North #Gaza where its forces have trapped tens of thousands of Palestinians including civilians in their homes and shelters with no access to food or other life-sustaining,6379,104,58,11,6
HensonJames11,Breaking: UK sanctions Iranian officials while arming Israel who are committing genocide.,16108,139,55,9,13
DougAMacgregor,BREAKING: United States to put boots on the ground in Israel after agreeing to supply THADD missile systems to aid their war with Hamas..,377042,1802,583,42,78
seyi_laleye,The NFF/Libya issue is why I have no dog in the Israel  vs Palestine .None of them gives a damn about the Blacks.,758,11,5,0,2
Hegelbon,The guy who streams from a cabin and looks kind of but not quite Amish is pro Israel and anti Palestine? Now I’m a little surprised he seemed pretty leftist…..,17189,12,0,0,11
GeneralMCNews,BREAKING: Israel plans to carry out a strike on Iran before the U.S. elections on November 5th.,94868,181,65,39,32
YourAnonOne,BREAKING : Netanyahu tells U.S. that Israel will strike Iranian military not nuclear or oil targets officials say.,1771088,319,37,27,97
EliAfriatISR,BREAKING NEWS : Washington Post: Netanyahu told Biden in their last conversation that Israel would attack military infrastructure in Iran and not nuclear or oil facilities.,75575,130,26,26,75
YourAnonTV,BREAKING: Netanyahu tells U.S. that Israel will strike Iranian military not nuclear or oil targets officials say - Washington Post,479169,62,13,26,81
JewishWarrior13,BREAKING Washington Post: Netanyahu reportedly told Biden that Israel will NOT attack Iran's nuclear or oil facilities.,60739,325,38,27,60
TheInsiderPaper,BREAKING: Netanyahu tells U.S. that Israel will strike Iranian military not nuclear or oil targets officials say - Washington Post,382717,542,144,27,79
MarchandSurgery,BREAKING: The Biden and @KamalaHarris/@VP administration is sending US troops to Israel today!,243360,47,13,42,78
VividProwess,It was never about “Palestine.”It was always about the complete annihilation of Israel and the Jewish people.Do not be fooled.,190779,1047,165,3,63
zauberberg188,RealTimeDailyNews «BREAKING: Israeli Prime Minister Netanyahu officially approves plans to attack Iran.»P.S. Was 9/11 a false flag to attack Irak? Was 10/7 a false flag to attack Gaza Lebanon and Iran? Was there a coordination between the US and Israel?,9903,15,2,19,18
YourAnonOne,BREAKING : Israeli Broadcasting Authority: Israel plans a "major response" after Hezbollah attack on a Golani Brigade camp.,1771088,233,28,38,97
PookieJane3429,So it has been confirmed again that Israel is not allowing aid into the North…None has been allowed in since 10/01/24…Even after dumb ass @KamalaHarris said they needed to allow it in just last night…As of 27 minutes ago the IOF denied trucks that wanted to enter the,4417,12,5,2,9
danielgoyal,The choice is not whether to support Israel or Palestine.The choice is whether to support war crimes or not…Whether to support the international laws that protect us all or not…Whether to choose civilisation or not.It’s not about sides anymore…It’s about humanity!,98313,1064,344,0,62
intelFromBrian,Channel 12 Israel:Defense Minister tells families of hostages in Gaza that no deal with Hamas is on the horizon,14208,75,20,24,16
Worldsource24,#BREAKING: White House National Security Council spokesperson: "The images and video of what appear to be displaced civilians burning alive following an Israeli air strike are deeply disturbing and we have made our concerns clear to the Israeli government. Israel has a,39894,19,8,6,24
OHCHR_Palestine,Horrified that an Israel airstrike killed at least 5 children as they played in front of Afwa &amp; Aafiyah kindergarten in #Gaza City on 13 October.  Deeply concerned at another strike where the victims were all children. The Israeli military must spare all civilians including,6451,1012,537,10,9
intelFromBrian,Channel 14 Israel quoting a senior Israeli security official: - The response to the Iranian attack will be strong- Israel must be prepared for the Iranian response,14208,35,11,32,14
intelFromBrian, Kan Hebrew Channel from an informed source:Israel is preparing a large-scale attack in Lebanon including Beirut in response to the targeting of the Golani camp.,14208,49,14,31,10
franmcnulty,BREAKING: Israeli PM again calls for UNIFIL to stand aside “the best way to assure the safety of UNIFIL personnel is for UNIFIL to heed Israel's request &amp; to temporarily get out of harm’s way” says Netanyahu says Israel is fighting Hezbollah not UNIFIL or people of Lebanon,27914,10,6,27,27
YepBoomer,Feeling down? There’s an episode of Bill Maher’s podcast where Bill Burr repeatedly humiliates him from roughly start to finish including on his Palestine and Israel takes.,6593,30,0,0,7
nour_zeidan,I hope I live long enough to see the end of Israel and a Free Palestine.,23220,24,8,0,18
Worldsource24,#BREAKING: The Israeli Prime Minister's Office: "We listen to the opinions of the American administration but we will make our final decisions based on Israel's national interests",39899,30,9,18,24
SwannMarcus89,Hasan and Asmongold debating Israel/Palestine sounds like the kind of thing Satan would force you to watch on repeat while burning in Hell,52628,532,56,0,10
VyprCEO,While X has either suspended or censored most my frens on the positive I’m seeing large accounts breaking their silence everyday.The overton window has moved so much that siding with israel is now shunned immoral and evil.It took a year to expose a century of lies.,9239,41,10,0,9
mishtal,Breaking: Another terrorist attack in IsraelThis time a shooting near Ashdod. Two hurt - one in critical condition. All they want to do is murder Jews.And you know who will not condemn it?@amnesty And who will try not to mention it?@BBCNews This is the world we live in.,204971,105,33,69,73
StandWithUs,BREAKING: Reports of a shooting attack near Ashdod southern Israel. At least 2 people injured. More to follow.,351683,32,20,70,81
guyelster,#BREAKING Israel’s Security Services said a suicide bombing attack in Tel Aviv in August was directed by Hamas’ headquarters in Turkey,29737,27,10,78,31
ecomarxi,Brianna Wu: Israel burning Palestinian children alive is a gift we need more of this we need zero international laws and to allow Israel to commit unfathomable crimes with impunityPerson: You are a piece of shitBrianna: Look! The Free Palestine crowd are such violent bigots,165891,281,77,3,67
BackupBrainy,Bhosadpill logicIsrael Palestine war is unrelated to us brooo.. no need to hate Palestine brooo Same bhosadpill few moments later: Israel is bad .. Jews bad.. Talmud bad..,2901,25,3,0,2
dangbanamanager,Christians in Nigeria are quick to support Israel while Muslims stand with Palestine. Yet when it comes to fighting for the country whose passport you hold you become indifferent. You allow corrupt politicians to divide you through tribalism and religion. Will you ever wake up,16531,10,7,0,12
JackStr42679640,#BREAKING: Israel plans to carry out a strike on Iran before the U.S. elections on November 5th.GeneralMCNews,252782,16,1,59,88
