Username,Text,Followers,Likes,Retweets,Urgency,Credibility
108SAR,Israel won't be able to milk US for long. Without that it will disappear. The World is big Zionists will find some other places to go to. And leave Palestine. D. Orlov,8380,25,5,0,7
SalmaKe_mohamed,Rashida Talib and Ilhan Omar  The two leaders who stood for humanity are back again!  That shows American citizens are with Palestine even thou all other democrats supported the evil of Israel!  #LET’S SAVE HUMANITY regardless of their race and religion!,4385,12,2,1,4
commie_trucker,How many liberals do you suppose muted the words Gaza Palestine and Israel from their feeds?,7137,23,2,0,3
VividProwess,BREAKING: The U.S. is sending additional fighter jets to help Israel defend itself in preparation for the Iranian attack.,219682,1246,213,46,65
reider,Ok. Here goes—my on what Trump 2.0 means for Israel-Palestine (&amp; UK) and ofc domestically. TLDR: It's not the end of the world yet; worst immediate impact will be at home not abroad; there are (razor-thin) silver linings; +learnable lessons to stall further rightward lurch.,22121,92,22,0,13
YourAnonCentral,The weird thing about US democrats and leftists is that many of them seem more willing to throw each other away before Netanyahu and Israel which actively worked to elect Trump or their hyperbolic single issue grandstanding around Palestine and anti-Kamala rhetoric.   If you aren’t going to seek shelter away from the United States or hide you need to compromise and resist together for your own well being before anything. Anything less and Trump is going to completely crush you all. That's something for many to sit on and think about.,5183265,246,63,0,100
macnahgalla,Since the October 07 attack on Israel I have seen no photographs of the hostages taken by Hamas. Unfortunately I believe that each and every one of them has been executed.   Palestine and Gaza is reaping that which it has sown. FUCK THEM.,18064,31,4,0,15
ashoswai,Arabs who supported Trump forgot Trump's anti-Palestine acts in his first term: 1. Recognition of Jerusalem as Israel's capital 2. Recognition of Israeli Sovereignty over the Golan Heights 3. The Abraham Accords 4. Cutting Aid to Palestinian Programs 5. Closure of PLO office in Washinton DC 6. Reversal of U.S. Policy on Israeli Settlements 7. Designation of Iran’s Revolutionary Guard Corps (IRGC) as a Terrorist Organization 8. Increased Military and Financial Aid to Israel: a $38 billion defence package in 2018 9. Supported legislation against the Boycott Divestment and Sanctions (BDS) movement against Israel 10. Inclusion of Israel in many U.S.-Led Initiatives on security technology and economic cooperation,618080,299,89,0,78
JesvinGeo,BREAKING: The law has been officially approved in Israel: Family members of terrorists who support for the act of terrorism will be deported from Israel.,20033,145,36,27,20
NoaMagid,BREAKING: The "Deportation of Terrorists' Families" law passed the Knesset plenum tonight and entered the law books of the State of Israel.,88709,259,38,27,57
VividProwess, BREAKING: The law has been officially approved in Israel: Family members of terrorists who knew in advance about the plan or expressed support for the act of terrorism will be deported from Israel.,219682,15044,2375,28,57
THEREALJEW613,BREAKING NEWS:  Israel has passed legislation allowing for the deportation of families of terrorists from Israel.,32993,373,55,25,19
IsraelWarRoom,#BREAKING: IDF carries out drone strikes targeting Palestinian terrorists in the city of Tulkarm in the West Bank,343703,210,32,68,52
JezButt91,The funniest possible outcome of all of this is if Trump outflanks the Dems on Palestine cutting off military aid to Israel because he doesn't want to be seen as Netanyahu's lapdog.,1638,15,0,0,1
OfficialSaharTV,I’m tired of the Pro Palestine side not taking accountability for Hamas and Hezbollahs action. Instead of coming at Israel complain to them protest against them. Oh wait you won’t…,580,23,3,0,1
BladeoftheS,Trump appears to be planning to give the West Bank to Israel.  This would allow them to complete their eradication of Palestine.,199941,115,35,57,62
Zazochi,Haha the local news just casually called Israel “right winged”. Nice to see that pointed out. Bibi absolutely thrilled with the election results. Anyone thinking a protest vote was a good call for Palestine is a fucking idiot.,4471,26,4,0,2
TameeOliveFern,Breaking: Israel distances itself at the latest UN meeting from the comments and actions of its soldiers army commanders cabinet ministers prime minister president founders and thinkers,23059,71,19,9,19
niaws_t,can someone who voted green/didn’t vote/voted for trump explain what the plan is now that neither Kamala has won and Trump is elected. was it just to punish dems for her positioning Palestine and Israel?,5747,20,0,0,4
FlyingDutchPall,Trump is pro Israel right?  How did Palestine supporters vote for him? If it’s up to him he’d glass Gaza.,13419,394,31,0,11
Jewtastic,After the Dems are finished eating their own in the lame duck period they are coming after Israel. I pray Biden is still lucid enough to stop his Netanyahu &amp; Palestine obsessed Obama era Karens from wreaking havoc.,27634,22,1,0,18
guyelster,#BREAKING Israel former Defensive Minister Galant  told hostages’ families that the army has achieved all of its goals in Gaza PM Netanyahu’s considerations are not militarily or diplomatic,30040,51,31,23,29
gill_godwin,Canada could we get serious... Israel &amp; Palestine is the center of a killing field Ukraine is at war with Russia. Trump is irrational &amp; now POTUS elect. Modi/China helped PP  But sure lets discuss the PM of Canada &amp; his ability to work with International partners. ‍♀️ #cdnpoli,7276,42,14,0,5
PMBreakingNews,Violence against Israelis in Netherlands: - Multiple supporters of Israel’s soccer team beaten by pro Palestinian rioters in Netherlands ahead of soccer match - One Israeli visiting is unaccounted for - Videos show rioters throwing supporters in a river and hitting another with a car - Israeli National Security Council urges Israelis in the area to shelter in their hotels,188674,22,14,3,57
bdquinn,The Biden-Blinken-Sullivan approach to foreign policy which seems to revolve around half-committing to everything out of fear that things escalate or otherwise spin out of control was such a political loser.  Just having Ukraine and Israel-Palestine fester drove people nuts.,6008,68,14,0,5
IsraelWarRoom,#BREAKING: 10 injuries reported in Amsterdam amidst a pogrom targeting Jewish soccer fans,343977,377,107,14,76
TameeOliveFern,Breaking: Israel expresses concern that people worldwide will do to Israelis abroad 1% of what Israelis are doing to Palestinians,23054,92,36,0,16
AdameMedia,Israelis in Amsterdam starting by saying “fuck Arabs” “glass Gaza” “Kill Palestinians” and taking down Palestinian flags.   They ended by chanting“free Palestine”   They thought they were still in Israel lmao.,201013,377,110,4,65
Esther_Voet,Breaking: Israeli planes on their way to bring Maccabi fans safely back to Israel,36013,47,19,4,15
NoaMagid,BREAKING: Israel sent two rescue planes to the Netherlands to save our people.,88893,280,53,14,46
IsraelWarRoom,#BREAKING: Following mob attacks against Jews in Amsterdam the Israeli government is sending an emergency mission to the Netherlands.,343977,674,134,35,68
EYakoby,Breaking: Israel is sending a rescue team and a plane to Amsterdam.  This is what it has come to in Europe. Absolutely pathetic.,51485,603,116,15,46
AvivaKlompas,#BREAKING Prime Minister Netanyahu has ordered the immediate dispatch of two rescue planes to assist Israeli citizens in Amsterdam.   Israel is going to rescue Jews in Europe.,311438,6440,1349,30,75
PawlowskiMario,To Arab voters in America who voted for Trump.   Don’t even say a word about Palestine being leveled by Israel. You voted for it.,55140,565,117,0,19
JewishWarrior13,BREAKING Israel is sending a rescue team and a plane to Amsterdam,71685,2948,426,24,35
Worldsource24,#BREAKING: Israel is sending a rescue team and a rescue plane to Amsterdam.,41605,178,44,18,20
lielmaizlin93,Breaking News  Israel is sending a delegation and rescue plane to Amsterdam to help rescue our Jews.,3038,21,6,20,2
UKR_Report,#BREAKING ⚡️ —Israel is sending a rescue team and a rescue plane to Amsterdam,36850,160,45,20,17
IsraelWarRoom,#BREAKING: Reports indicate that the pogrom against Jewish soccer fans in Amsterdam was organized with groups of 5-10 men hiding in different locations and ambushing Jews near Ajax’s Johan Cruyff Arena,343977,1221,401,39,75
AishaDaughter,When comes to Palestine the only people I am listening to the Palestinian people not other Arabs because they are just much as responsible for the plight of Palestinians as Israel and the West.,17538,23,5,0,11
IsraelWarRoom,#BREAKING: Reports of a wave of attacks targeting Jews in Amsterdam after a Europa League match between Ajax and Maccabi Tel Aviv,343977,578,141,46,77
Worldsource24,#BREAKING: The Israeli Knesset has voted to approve both Israel Katz as Israeli Minister of Defense and Gideon Sa'ar as Minister of Foreign Affairs,41605,33,4,29,28
melaudrama,let the records show that every single arab american could've explicitly voted for donald trump and i would still be saying free palestine and fuck israel. genocide is wrong no matter what. the comments i'm seeing on tiktok to palestinians are so evil. god help us all.,1649,111,15,0,1
VividProwess,Israel had to send five rescue planes to Amsterdam while many Jews are still missing and many are hiding in their hotel rooms having locked themselves in as mobs of Muslims hunt them down in the name of Islam and Palestine while Dutch authorities have failed to defend them.,220489,612,203,46,76
EretzIsrael,BREAKING: Jews in Amsterdam are being cautioned to avoid wearing Jewish symbols.,67939,95,20,15,34
Ahmad4ISRL,I’m a Palestinian I renounce the evils of my people & seek your forgiveness.  For 76 years the world cried & screamed for Palestine but on October 7th the world went silent then resumed their screams of hypocrisy the day after when Israel was forced into a war it never sought. Evil rose & terror supporters took to the streets around the world calling for the genocide of Jews but the world turned a blind eye. Yet again Jews are now hunted in Amsterdam with the world silent as if there’s a moral dilemma in the existence of Jews. I’m done standing behind & supporting people who refuse to rid themselves of evil refuse to see the humanity in Jews & their worth to the world. I’m done with your hypocrisy & double standards. I’m done with your ignorance & lies.  I’m ashamed to call myself a Palestinian. I’m ashamed of you.  I’m sorry to the Jewish people who have forever sought a life & coexistence with us but instead we choose their destruction & death I’m sorry,28915,225,46,0,12
HenMazzig,The more you attack Jews on the streets of Europe in the name of Palestine the more you destroy our synagogues the more you deny our history and humanity the more we will believe Israel must exist.,243651,1018,150,0,75
ThomasVanRiet2,Nobody ever talked about "a conflict" between Congo and Belgium for good reasons. Belgium colonized Congo and committed genocide.    Why are we talking about a conflict between Israel and Palestine?    Let us use the proper language.,8798,20,4,0,6
IranIntl_En,Iran-backed Yemeni Houthis targeted Israel’s Nevatim Airbase with a hypersonic ballistic missile named “Palestine 2” and reportedly downed a US MQ-9 Reaper drone over Yemen’s al-Jawf province early Friday the group’s military spokesperson Yahya Sarea said.,218062,26,9,23,67
redoctoberirp,“Israel” fans in Amsterdam spent the game singing songs glorifying Genocide then attacking Palestine activists spurring a response.  These “Israeli’s” deserve everything they get and should be treated as such in every city.  Not so tough when they dont have an airforce…,3154,35,9,0,2
freeathinking,I’ve been a noticer for longer than some of these 20 year olds have been alive so let me try and explain to you what’s happening in holland right now.  You see for as long as I can remember the media here in the US has always reported on Israel/Palestine in the following way…  “Hamas/Palestinian militants stabbed 2 Israelis today in Jerusalem”   Or some twist on that basic premise.  What the media never tells you is that those stabbings were almost always a reaction to the IDF coming into Gaza or a Palestinian city and randomly killing 10-20 Palestinians. Palestinians get angry a couple get froggy and the media reports on the reaction but never the preceding action.   That’s because the us media is by and large hugely pro Amish and so they report what the Israeli government tells them. And as we seen with 10/7 the march of the right of return in 2014 or dozens other conflicts the Palestinians protests or actions were not spontaneous. They were almost always reactions to some horrendous actions that the Israelis took against them.   So now in Holland the US media reports that jews are getting beaten in the streets but they aren’t reporting what the jews did to provoke those actions.  What the US media is showing you is that in regards to jewish actions in the west they will now report it and repeat it exactly as their Zionist controllers want it to be reported and in the same way they have reported in Israel for decades.   And as a result you get the focus on the reaction but never the precipitating action that caused it.  Why am I explaining all this?  Because a couple years into the Trump administration (and it wouldn’t have mattered if it was Kamala or Trump who got elected) when us citizens are reported in the media to be being questioned detained and taken to jail for a few days for “anti semitism” the media will report them as “violent extremists harboring anti semitic beliefs” not citizens concerned about a hijacking of their own government and speaking out. And many of you will fall for what the media reports the same as you did in Palestine in Holland right now and for decades here at home.   That’s where we are going.  Don’t believe me?  Just wait and watch.,4058,19,3,0,3
ClaudaTanios,#BREAKING Israel's military offensive in the Gaza Strip has killed at least 43508 Palestinians and wounded 102684 since Oct. 7 2023 the Palestinian enclave's health ministry said.,3524,34,20,12,2
AvivaKlompas,#BREAKING Israel's Foreign Ministry says say that all Israelis in Amsterdam have been accounted for.   Officials have spent hours working to make contact with all Israelis known to be visiting the city.,309676,1460,173,18,76
IsraelWarRoom,#BREAKING: Israel’s foreign ministry confirms that all previously unaccounted-for Israelis in Amsterdam have been located.,344344,2760,398,14,78
YuvalMimi,“They deserve it for what Israel is doing to Palestine”   Have you ever seen Russian people outside their country being beaten down like that and forced to yell ‘Free Ukraine’?   Just wondering.,6796,271,46,0,5
MaryKostakidis,'Surpassing World War II' Figures - Israel Dropped Over 85000 Tonnes of Bombs on Gaza - Palestine Chronicle 'Israel’s military has dropped over 85000 tonnes of bombs on the Gaza Strip since October 2023 exceeding the amount of explosives used in World War II the Environmental Quality Authority has said.' '..the Israeli military employed a range of weapons and munitions most notably white phosphorus which is prohibited under international law by the United Nations Convention on Certain Conventional Weapons.' 'The organization also indicated that damage to water infrastructure has resulted in polluted water leaking into groundwater reservoirs foreshadowing a health and environmental catastrophe that threatens to endanger residents for generations to come.'  Link below,38177,84,61,0,19
MaryKostakidis,101 BBC Journalists Say it is Biased Against Palestine 'More than 230 members of the media industry and personalities including 101 BBC employees accuse the British media outlet of providing favourable coverage of Israel and call on the public broadcaster to “recommit to fairness accuracy and impartiality” in its reporting on the Gaza Strip.'  'Examples provided by staff include “dehumanizing and misleading headlines” including the one given to an article about a six-year-old girl who was shot by the Israeli army in Gaza in January 2024. Speaking about the headline “Hind Rajab 6 found dead in Gaza days after phone calls for help” a signatory of the letter said: “This was not an act of God. The perpetrator Israel should have been on the front page and it should have been clear that she was killed.”'  '“Palestinians are always treated as an unreliable source and we consistently prioritise Israel’s version of events despite the IDF’s well-documented history of lying” says another BBC employee speaking on condition of anonymity.' 'Other concerns raised by staff include coverage omissions such as the failure to livestream the plea of South Africa’s genocide case against Israel to the International Court of Justice on January 11 but the choice to livestream Israel’s defense the next day.' Cont for link,38177,54,18,0,11
DrEliDavid, Breaking: Israel  forbids IDF soldiers to visit Netherlands   Gaza is now officially safer than Amsterdam.,748796,2756,390,18,82
IsraelWarRoom,#BREAKING: Dutch police say they’re investigating unconfirmed reports that Israelis were taken hostage during last night’s pogrom in Amsterdam.,344344,742,232,36,68
RhiannonH79632,I don't care about Israel and I don't care about Palestine. I care about the United Kingdom.,523,31,1,0,1
THEREALJEW613,BREAKING:  A few hours before the pogrom started in Amsterdam Israel shared intelligence about the impending attack in Amsterdam with the local Police and security agencies.  They did nothing about it.,33507,127,35,16,25
yahia88081,Good Morning  Fuck criminal “israel” fuck theto hell. RESISTANCE until Palestine Is Free ,432,21,2,0,1
IsraelWarRoom,#BREAKING: With several Israelis still missing after the pro-terror pogrom in Amsterdam Israel’s Shin Bet has reached out to Dutch intelligence offering to deploy a specialized rapid-response unit skilled in locating missing persons @Doron_Kadosh reports. Meanwhile security has been reinforced for Israeli missions the ambassador and flights from the Netherlands to Israel.,344344,1578,408,23,64
MForMuneeb12,Big Breaking   We have a soft corner about Israel PTI s Azhar Mashwani Stated in Spain Protest.,6139,29,23,3,3
PhaedraAlMasri,Israel is losing this war. Israel is losing all over the world. Palestine will conquer.,24968,317,49,0,11
StandWithUs,BREAKING: Following a Maccabi Tel Aviv soccer match in Amsterdam a violent anti-Israel mob launched a violent attack on Israeli fans shouting “Free Palestine” leaving dozens injured some seriously. Three Israelis are currently unaccounted for in Amsterdam. Flights dispatched to evacuate Israeli nationals. Reports that the IDF is sending a rescue mission to the area.,355251,420,118,23,69
spectatorindex,BREAKING: Iran-backed militia in Iraq says it has targeted northern Israel with drones,2913873,92,22,47,89
khalidi79397,I've listened to the Israel-Palestine Debate: Finkelstein Destiny M. Rabbani & Benny Morris | Lex Fridman Podcast #418. Rabbani and Finkelstein justify Arafat and Abbas's refusal to sign a peace agreement with Israel arguing that what was offered was worthless and unfair.>,19171,63,3,0,14
Frediculous,The dems arent prepared to answer this but what has Trump actually done that is as bad as dems continued assistance with whats happening in Palestine? Theres no moral high ground to stand on. I honestly felt shame every time Kamala said that theyd continue to support Israel,19773,69,18,0,13
sahouraxo,BREAKING:  Israel is now dropping bombs near Aleppo in Syria.  Bombing 3 different countries at the same time in the dead of night is not “self-defense”.  It is terrorism.,649453,1493,818,36,78
fiadhaich_,not will saying “current affairs” and “israel and lebanon” SAY PALESTINE #bbuk #bbll,3614,34,0,0,2
elicalebon,If a Palestinian person was thrown in a river and made to say “long live Israel” I would be sick to my stomach EVEN if that person had just pulled down an Israeli flag.  If an Israeli person was thrown in the river and made to say “free Palestine” I would be sick to my stomach EVEN if that person had just pulled down a Palestinian flag.  There’s a word for this type of reasoning. It’s called moral clarity.,128815,2338,304,0,68
JacobIRE353,The one thing I will agree on with the Irish liberals is that the Jews in Israel are committing genocide.   They are ruthless to grab land and they desire much more land than just Palestine…….   Say no to Judaism and no to Islam!  CHRIST IS KING!,1148,14,1,0,1
notlouisck,How long do you think it will take for the Russia/Ukraine war to end? Also the Israel/Palestine war?   Will Ukraine or Palestine have to give up land or how will it end?   Will Trump immediately stop funding both of them?   I'm interested in how this unfolds,153801,151,2,0,57
PLCROSSTALK,Expect the out-going Biden admin to go batshit crazy to trip up Trump in Ukraine and Palestine-Israel. Remember Obama did this - unleashing the intel community.  America’s national interests mean nothing to libs. Nasty business.,14740,93,27,0,11
imzpali,My sister has a student who’s coming from Palestine and all his paper work says Ramallah but then she noticed it said Israel for the country. So she fought the district on it and they now added Palestine for parents to choose when registering!!,10226,73,10,2,9
LFC_Klopp_Salah,The whole Amsterdam situation is hilarious. Israelis going around a foreign city spouting their usual disgusting genocidal chants under police escort. And when they get their asses whooped they cry antisemitism.  The whole world hates them.  Fuck Israel and free Palestine!,2411,13,1,0,1
guyelster,#BREAKING Israel’s National Security Council called on fans to avoid a basketball match of Maccabi Tel Aviv against Bologna in Italy on Friday a day after the antisemitic attack in Amsterdam,30046,40,23,29,18
notronmexicuh,I will say that the narrative from Western politicians and media that “it’s antisemitic to not let Zionist mobs occupy your city and chant genocidal slogans while they destroy your personal property” definitely tracks with the impunity they’ve given “Israel” in Palestine forever.,1860,43,15,0,1
Israel2252,Breaking out of Qatar: Qatari officials have told Hamas to leave the country.  Make no mistake about it this is a direct result of Trump winning the election.,7463,49,3,56,6
DrRupaMarya,Rest assured that one day in the not so distant future Israel will go the way of other failed ethnonationalist apartheid genocidal states and Palestine will be free. ,23703,46,6,0,11
